main_term,path,full_term,level,type,value,code
Dilation,Dilation > Eustachian Tube > Right,Dilation > Eustachian Tube > Right,2,codes,,097F
Dilation,Dilation > Fallopian Tube > Left,Dilation > Fallopian Tube > Left,2,codes,,0U76
Dilation,Dilation > Fallopian Tube > Right,Dilation > Fallopian Tube > Right,2,codes,,0U75
Dilation,"Dilation > Fallopian Tubes, Bilateral","Dilation > Fallopian Tubes, Bilateral",1,codes,,0U77
Dilation,Dilation > Hymen,Dilation > Hymen,1,codes,,0U7K
Dilation,Dilation > Ileocecal Valve,Dilation > Ileocecal Valve,1,codes,,0D7C
Dilation,Dilation > Ileum,Dilation > Ileum,1,codes,,0D7B
Dilation,Dilation > Intestine > Large,Dilation > Intestine > Large,2,codes,,0D7E
Dilation,Dilation > Intestine > Large > Left,Dilation > Intestine > Large > Left,3,codes,,0D7G
Dilation,Dilation > Intestine > Large > Right,Dilation > Intestine > Large > Right,3,codes,,0D7F
Dilation,Dilation > Intestine > Small,Dilation > Intestine > Small,2,codes,,0D78
Dilation,Dilation > Jejunum,Dilation > Jejunum,1,codes,,0D7A
Dilation,Dilation > Kidney Pelvis > Left,Dilation > Kidney Pelvis > Left,2,codes,,0T74
Dilation,Dilation > Kidney Pelvis > Right,Dilation > Kidney Pelvis > Right,2,codes,,0T73
Dilation,Dilation > Larynx,Dilation > Larynx,1,codes,,0C7S
Dilation,Dilation > Nasopharynx,Dilation > Nasopharynx,1,codes,,097N
Dilation,Dilation > Pharynx,Dilation > Pharynx,1,codes,,0C7M
Dilation,Dilation > Rectum,Dilation > Rectum,1,codes,,0D7P
Dilation,Dilation > Stomach,Dilation > Stomach,1,codes,,0D76
Dilation,Dilation > Stomach > Pylorus,Dilation > Stomach > Pylorus,2,codes,,0D77
Dilation,Dilation > Trachea,Dilation > Trachea,1,codes,,0B71
Dilation,Dilation > Ureter > Left,Dilation > Ureter > Left,2,codes,,0T77
Dilation,Dilation > Ureter > Right,Dilation > Ureter > Right,2,codes,,0T76
Dilation,"Dilation > Ureters, Bilateral","Dilation > Ureters, Bilateral",1,codes,,0T78
Dilation,Dilation > Urethra,Dilation > Urethra,1,codes,,0T7D
Dilation,Dilation > Uterus,Dilation > Uterus,1,codes,,0U79
Dilation,Dilation > Vagina,Dilation > Vagina,1,codes,,0U7G
Dilation,Dilation > Valve > Aortic,Dilation > Valve > Aortic,2,codes,,027F
Dilation,Dilation > Valve > Mitral,Dilation > Valve > Mitral,2,codes,,027G
Dilation,Dilation > Valve > Pulmonary,Dilation > Valve > Pulmonary,2,codes,,027H
Dilation,Dilation > Valve > Tricuspid,Dilation > Valve > Tricuspid,2,codes,,027J
Dilation,Dilation > Vas Deferens > Bilateral,Dilation > Vas Deferens > Bilateral,2,codes,,0V7Q
Dilation,Dilation > Vas Deferens > Left,Dilation > Vas Deferens > Left,2,codes,,0V7P
Dilation,Dilation > Vas Deferens > Right,Dilation > Vas Deferens > Right,2,codes,,0V7N
Dilation,Dilation > Vein > Axillary > Left,Dilation > Vein > Axillary > Left,3,codes,,0578
Dilation,Dilation > Vein > Axillary > Left > Cell Impermeable Intraluminal Device,Dilation > Vein > Axillary > Left > Cell Impermeable Intraluminal Device,4,code,,X27835B
Dilation,Dilation > Vein > Axillary > Right,Dilation > Vein > Axillary > Right,3,codes,,0577
Dilation,Dilation > Vein > Axillary > Right > Cell Impermeable Intraluminal Device,Dilation > Vein > Axillary > Right > Cell Impermeable Intraluminal Device,4,code,,X27735B
Dilation,Dilation > Vein > Azygos,Dilation > Vein > Azygos,2,codes,,0570
Dilation,Dilation > Vein > Basilic > Left,Dilation > Vein > Basilic > Left,3,codes,,057C
Dilation,Dilation > Vein > Basilic > Left > Cell Impermeable Intraluminal Device,Dilation > Vein > Basilic > Left > Cell Impermeable Intraluminal Device,4,code,,X27C35B
Dilation,Dilation > Vein > Basilic > Right,Dilation > Vein > Basilic > Right,3,codes,,057B
Dilation,Dilation > Vein > Basilic > Right > Cell Impermeable Intraluminal Device,Dilation > Vein > Basilic > Right > Cell Impermeable Intraluminal Device,4,code,,X27B35B
Dilation,Dilation > Vein > Brachial > Left,Dilation > Vein > Brachial > Left,3,codes,,057A
Dilation,Dilation > Vein > Brachial > Left > Cell Impermeable Intraluminal Device,Dilation > Vein > Brachial > Left > Cell Impermeable Intraluminal Device,4,code,,X27A35B
Dilation,Dilation > Vein > Brachial > Right,Dilation > Vein > Brachial > Right,3,codes,,0579
Dilation,Dilation > Vein > Brachial > Right > Cell Impermeable Intraluminal Device,Dilation > Vein > Brachial > Right > Cell Impermeable Intraluminal Device,4,code,,X27935B
Dilation,Dilation > Vein > Cephalic > Left,Dilation > Vein > Cephalic > Left,3,codes,,057F
Dilation,Dilation > Vein > Cephalic > Left > Cell Impermeable Intraluminal Device,Dilation > Vein > Cephalic > Left > Cell Impermeable Intraluminal Device,4,code,,X27E35B
Dilation,Dilation > Vein > Cephalic > Right,Dilation > Vein > Cephalic > Right,3,codes,,057D
Dilation,Dilation > Vein > Cephalic > Right > Cell Impermeable Intraluminal Device,Dilation > Vein > Cephalic > Right > Cell Impermeable Intraluminal Device,4,code,,X27D35B
Dilation,Dilation > Vein > Colic,Dilation > Vein > Colic,2,codes,,0677
Dilation,Dilation > Vein > Common Iliac > Left,Dilation > Vein > Common Iliac > Left,3,codes,,067D
Dilation,Dilation > Vein > Common Iliac > Right,Dilation > Vein > Common Iliac > Right,3,codes,,067C
Dilation,Dilation > Vein > Esophageal,Dilation > Vein > Esophageal,2,codes,,0673
Dilation,Dilation > Vein > External Iliac > Left,Dilation > Vein > External Iliac > Left,3,codes,,067G
Dilation,Dilation > Vein > External Iliac > Right,Dilation > Vein > External Iliac > Right,3,codes,,067F
Dilation,Dilation > Vein > External Jugular > Left,Dilation > Vein > External Jugular > Left,3,codes,,057Q
Dilation,Dilation > Vein > External Jugular > Right,Dilation > Vein > External Jugular > Right,3,codes,,057P
Dilation,Dilation > Vein > Face > Left,Dilation > Vein > Face > Left,3,codes,,057V
Dilation,Dilation > Vein > Face > Right,Dilation > Vein > Face > Right,3,codes,,057T
Dilation,Dilation > Vein > Femoral > Left,Dilation > Vein > Femoral > Left,3,codes,,067N
Dilation,Dilation > Vein > Femoral > Right,Dilation > Vein > Femoral > Right,3,codes,,067M
Dilation,Dilation > Vein > Foot > Left,Dilation > Vein > Foot > Left,3,codes,,067V
Dilation,Dilation > Vein > Foot > Right,Dilation > Vein > Foot > Right,3,codes,,067T
Dilation,Dilation > Vein > Gastric,Dilation > Vein > Gastric,2,codes,,0672
Dilation,Dilation > Vein > Hand > Left,Dilation > Vein > Hand > Left,3,codes,,057H
Dilation,Dilation > Vein > Hand > Right,Dilation > Vein > Hand > Right,3,codes,,057G
Dilation,Dilation > Vein > Hemiazygos,Dilation > Vein > Hemiazygos,2,codes,,0571
Dilation,Dilation > Vein > Hepatic,Dilation > Vein > Hepatic,2,codes,,0674
Dilation,Dilation > Vein > Hypogastric > Left,Dilation > Vein > Hypogastric > Left,3,codes,,067J
Dilation,Dilation > Vein > Hypogastric > Right,Dilation > Vein > Hypogastric > Right,3,codes,,067H
Dilation,Dilation > Vein > Inferior Mesenteric,Dilation > Vein > Inferior Mesenteric,2,codes,,0676
Dilation,Dilation > Vein > Innominate > Left,Dilation > Vein > Innominate > Left,3,codes,,0574
Dilation,Dilation > Vein > Innominate > Right,Dilation > Vein > Innominate > Right,3,codes,,0573
Dilation,Dilation > Vein > Internal Jugular > Left,Dilation > Vein > Internal Jugular > Left,3,codes,,057N
Dilation,Dilation > Vein > Internal Jugular > Right,Dilation > Vein > Internal Jugular > Right,3,codes,,057M
Dilation,Dilation > Vein > Intracranial,Dilation > Vein > Intracranial,2,codes,,057L
Dilation,Dilation > Vein > Lower,Dilation > Vein > Lower,2,codes,,067Y
Dilation,Dilation > Vein > Portal,Dilation > Vein > Portal,2,codes,,0678
Dilation,Dilation > Vein > Pulmonary > Left,Dilation > Vein > Pulmonary > Left,3,codes,,027T
Dilation,Dilation > Vein > Pulmonary > Right,Dilation > Vein > Pulmonary > Right,3,codes,,027S
Dilation,Dilation > Vein > Renal > Left,Dilation > Vein > Renal > Left,3,codes,,067B
Dilation,Dilation > Vein > Renal > Right,Dilation > Vein > Renal > Right,3,codes,,0679
Dilation,Dilation > Vein > Saphenous > Left,Dilation > Vein > Saphenous > Left,3,codes,,067Q
Dilation,Dilation > Vein > Saphenous > Right,Dilation > Vein > Saphenous > Right,3,codes,,067P
Dilation,Dilation > Vein > Splenic,Dilation > Vein > Splenic,2,codes,,0671
Dilation,Dilation > Vein > Subclavian > Left,Dilation > Vein > Subclavian > Left,3,codes,,0576
Dilation,Dilation > Vein > Subclavian > Left > Cell Impermeable Intraluminal Device,Dilation > Vein > Subclavian > Left > Cell Impermeable Intraluminal Device,4,code,,X27635B
Dilation,Dilation > Vein > Subclavian > Right,Dilation > Vein > Subclavian > Right,3,codes,,0575
Dilation,Dilation > Vein > Subclavian > Right > Cell Impermeable Intraluminal Device,Dilation > Vein > Subclavian > Right > Cell Impermeable Intraluminal Device,4,code,,X27535B
Dilation,Dilation > Vein > Superior Mesenteric,Dilation > Vein > Superior Mesenteric,2,codes,,0675
Dilation,Dilation > Vein > Upper,Dilation > Vein > Upper,2,codes,,057Y
Dilation,Dilation > Vein > Vertebral > Left,Dilation > Vein > Vertebral > Left,3,codes,,057S
Dilation,Dilation > Vein > Vertebral > Right,Dilation > Vein > Vertebral > Right,3,codes,,057R
Dilation,Dilation > Vena Cava > Inferior,Dilation > Vena Cava > Inferior,2,codes,,0670
Dilation,Dilation > Vena Cava > Superior,Dilation > Vena Cava > Superior,2,codes,,027V
Dilation,Dilation > Ventricle > Left,Dilation > Ventricle > Left,2,codes,,027L
Dilation,Dilation > Ventricle > Right,Dilation > Ventricle > Right,2,codes,,027K
Direct Lateral Interbody Fusion (DLIF) device,Direct Lateral Interbody Fusion (DLIF) device,Direct Lateral Interbody Fusion (DLIF) device,0,use,Interbody Fusion Device in Lower Joints,
Disarticulation,Disarticulation,Disarticulation,0,see,Detachment,
"Discectomy, diskectomy","Discectomy, diskectomy","Discectomy, diskectomy",1,see,"Excision, Upper Joints 0RB",
"Discectomy, diskectomy","Discectomy, diskectomy","Discectomy, diskectomy",1,see,"Resection, Upper Joints 0RT",
"Discectomy, diskectomy","Discectomy, diskectomy","Discectomy, diskectomy",1,see,"Excision, Lower Joints 0SB",
"Discectomy, diskectomy","Discectomy, diskectomy","Discectomy, diskectomy",1,see,"Resection, Lower Joints 0ST",
Discography,Discography,Discography,1,see,"Plain Radiography, Axial Skeleton, Except Skull and Facial Bones BR0",
Discography,Discography,Discography,1,see,"Fluoroscopy, Axial Skeleton, Except Skull and Facial Bones BR1",
Dismembered pyeloplasty,Dismembered pyeloplasty,Dismembered pyeloplasty,0,see,"Repair, Kidney Pelvis",
Distal humerus,Distal humerus,Distal humerus,1,use,"Humeral Shaft, Right",
Distal humerus,Distal humerus,Distal humerus,1,use,"Humeral Shaft, Left",
"Distal humerus, involving joint","Distal humerus, involving joint","Distal humerus, involving joint",1,use,"Elbow Joint, Right",
"Distal humerus, involving joint","Distal humerus, involving joint","Distal humerus, involving joint",1,use,"Elbow Joint, Left",
Distal radioulnar joint,Distal radioulnar joint,Distal radioulnar joint,1,use,"Wrist Joint, Right",
Distal radioulnar joint,Distal radioulnar joint,Distal radioulnar joint,1,use,"Wrist Joint, Left",
Diversion,Diversion,Diversion,0,see,Bypass,
Diverticulectomy,Diverticulectomy,Diverticulectomy,0,see,"Excision, Gastrointestinal System 0DB",
Division,Division > Acetabulum > Left,Division > Acetabulum > Left,2,codes,,0Q85
Division,Division > Acetabulum > Right,Division > Acetabulum > Right,2,codes,,0Q84
Division,Division > Anal Sphincter,Division > Anal Sphincter,1,codes,,0D8R
Division,Division > Basal Ganglia,Division > Basal Ganglia,1,codes,,0088
Division,Division > Bladder Neck,Division > Bladder Neck,1,codes,,0T8C
Division,Division > Bone > Ethmoid > Left,Division > Bone > Ethmoid > Left,3,codes,,0N8G
Division,Division > Bone > Ethmoid > Right,Division > Bone > Ethmoid > Right,3,codes,,0N8F
Division,Division > Bone > Frontal,Division > Bone > Frontal,2,codes,,0N81
Division,Division > Bone > Hyoid,Division > Bone > Hyoid,2,codes,,0N8X
Division,Division > Bone > Lacrimal > Left,Division > Bone > Lacrimal > Left,3,codes,,0N8J
Division,Division > Bone > Lacrimal > Right,Division > Bone > Lacrimal > Right,3,codes,,0N8H
Division,Division > Bone > Nasal,Division > Bone > Nasal,2,codes,,0N8B
Division,Division > Bone > Occipital,Division > Bone > Occipital,2,codes,,0N87
Division,Division > Bone > Palatine > Left,Division > Bone > Palatine > Left,3,codes,,0N8L
Division,Division > Bone > Palatine > Right,Division > Bone > Palatine > Right,3,codes,,0N8K
Division,Division > Bone > Parietal > Left,Division > Bone > Parietal > Left,3,codes,,0N84
Division,Division > Bone > Parietal > Right,Division > Bone > Parietal > Right,3,codes,,0N83
Division,Division > Bone > Pelvic > Left,Division > Bone > Pelvic > Left,3,codes,,0Q83
Division,Division > Bone > Pelvic > Right,Division > Bone > Pelvic > Right,3,codes,,0Q82
Division,Division > Bone > Sphenoid,Division > Bone > Sphenoid,2,codes,,0N8C
Division,Division > Bone > Temporal > Left,Division > Bone > Temporal > Left,3,codes,,0N86
Division,Division > Bone > Temporal > Right,Division > Bone > Temporal > Right,3,codes,,0N85
Division,Division > Bone > Zygomatic > Left,Division > Bone > Zygomatic > Left,3,codes,,0N8N
Division,Division > Bone > Zygomatic > Right,Division > Bone > Zygomatic > Right,3,codes,,0N8M
Division,Division > Brain,Division > Brain,1,codes,,0080
Division,Division > Bursa and Ligament > Abdomen > Left,Division > Bursa and Ligament > Abdomen > Left,3,codes,,0M8J
Division,Division > Bursa and Ligament > Abdomen > Right,Division > Bursa and Ligament > Abdomen > Right,3,codes,,0M8H
Division,Division > Bursa and Ligament > Ankle > Left,Division > Bursa and Ligament > Ankle > Left,3,codes,,0M8R
Division,Division > Bursa and Ligament > Ankle > Right,Division > Bursa and Ligament > Ankle > Right,3,codes,,0M8Q
Division,Division > Bursa and Ligament > Elbow > Left,Division > Bursa and Ligament > Elbow > Left,3,codes,,0M84
Division,Division > Bursa and Ligament > Elbow > Right,Division > Bursa and Ligament > Elbow > Right,3,codes,,0M83
Division,Division > Bursa and Ligament > Foot > Left,Division > Bursa and Ligament > Foot > Left,3,codes,,0M8T
Division,Division > Bursa and Ligament > Foot > Right,Division > Bursa and Ligament > Foot > Right,3,codes,,0M8S
Division,Division > Bursa and Ligament > Hand > Left,Division > Bursa and Ligament > Hand > Left,3,codes,,0M88
Division,Division > Bursa and Ligament > Hand > Right,Division > Bursa and Ligament > Hand > Right,3,codes,,0M87
Division,Division > Bursa and Ligament > Head and Neck,Division > Bursa and Ligament > Head and Neck,2,codes,,0M80
Division,Division > Bursa and Ligament > Hip > Left,Division > Bursa and Ligament > Hip > Left,3,codes,,0M8M
Division,Division > Bursa and Ligament > Hip > Right,Division > Bursa and Ligament > Hip > Right,3,codes,,0M8L
Division,Division > Bursa and Ligament > Knee > Left,Division > Bursa and Ligament > Knee > Left,3,codes,,0M8P
Division,Division > Bursa and Ligament > Knee > Right,Division > Bursa and Ligament > Knee > Right,3,codes,,0M8N
Division,Division > Bursa and Ligament > Lower Extremity > Left,Division > Bursa and Ligament > Lower Extremity > Left,3,codes,,0M8W
Division,Division > Bursa and Ligament > Lower Extremity > Right,Division > Bursa and Ligament > Lower Extremity > Right,3,codes,,0M8V
Division,Division > Bursa and Ligament > Perineum,Division > Bursa and Ligament > Perineum,2,codes,,0M8K
Division,Division > Bursa and Ligament > Rib(s),Division > Bursa and Ligament > Rib(s),2,codes,,0M8G
Division,Division > Bursa and Ligament > Shoulder > Left,Division > Bursa and Ligament > Shoulder > Left,3,codes,,0M82
Division,Division > Bursa and Ligament > Shoulder > Right,Division > Bursa and Ligament > Shoulder > Right,3,codes,,0M81
Division,Division > Bursa and Ligament > Spine > Lower,Division > Bursa and Ligament > Spine > Lower,3,codes,,0M8D
Division,Division > Bursa and Ligament > Spine > Upper,Division > Bursa and Ligament > Spine > Upper,3,codes,,0M8C
Division,Division > Bursa and Ligament > Sternum,Division > Bursa and Ligament > Sternum,2,codes,,0M8F
Division,Division > Bursa and Ligament > Upper Extremity > Left,Division > Bursa and Ligament > Upper Extremity > Left,3,codes,,0M8B
Division,Division > Bursa and Ligament > Upper Extremity > Right,Division > Bursa and Ligament > Upper Extremity > Right,3,codes,,0M89
Division,Division > Bursa and Ligament > Wrist > Left,Division > Bursa and Ligament > Wrist > Left,3,codes,,0M86
Division,Division > Bursa and Ligament > Wrist > Right,Division > Bursa and Ligament > Wrist > Right,3,codes,,0M85
Division,Division > Carpal > Left,Division > Carpal > Left,2,codes,,0P8N
Division,Division > Carpal > Right,Division > Carpal > Right,2,codes,,0P8M
Division,Division > Cerebral Hemisphere,Division > Cerebral Hemisphere,1,codes,,0087
Division,Division > Chordae Tendineae,Division > Chordae Tendineae,1,codes,,0289
Division,Division > Clavicle > Left,Division > Clavicle > Left,2,codes,,0P8B
Division,Division > Clavicle > Right,Division > Clavicle > Right,2,codes,,0P89
Division,Division > Coccyx,Division > Coccyx,1,codes,,0Q8S
Division,Division > Conduction Mechanism,Division > Conduction Mechanism,1,codes,,0288
Division,Division > Esophagogastric Junction,Division > Esophagogastric Junction,1,codes,,0D84
Division,Division > Femoral Shaft > Left,Division > Femoral Shaft > Left,2,codes,,0Q89
Division,Division > Femoral Shaft > Right,Division > Femoral Shaft > Right,2,codes,,0Q88
Division,Division > Femur > Lower > Left,Division > Femur > Lower > Left,3,codes,,0Q8C
Division,Division > Femur > Lower > Right,Division > Femur > Lower > Right,3,codes,,0Q8B
Division,Division > Femur > Upper > Left,Division > Femur > Upper > Left,3,codes,,0Q87
Division,Division > Femur > Upper > Right,Division > Femur > Upper > Right,3,codes,,0Q86
Division,Division > Fibula > Left,Division > Fibula > Left,2,codes,,0Q8K
Division,Division > Fibula > Right,Division > Fibula > Right,2,codes,,0Q8J
Division,"Division > Gland, Pituitary","Division > Gland, Pituitary",1,codes,,0G80
Division,Division > Glenoid Cavity > Left,Division > Glenoid Cavity > Left,2,codes,,0P88
Division,Division > Glenoid Cavity > Right,Division > Glenoid Cavity > Right,2,codes,,0P87
Division,Division > Humeral Head > Left,Division > Humeral Head > Left,2,codes,,0P8D
Division,Division > Humeral Head > Right,Division > Humeral Head > Right,2,codes,,0P8C
Division,Division > Humeral Shaft > Left,Division > Humeral Shaft > Left,2,codes,,0P8G
Division,Division > Humeral Shaft > Right,Division > Humeral Shaft > Right,2,codes,,0P8F
Division,Division > Hymen,Division > Hymen,1,codes,,0U8K
Division,Division > Intraluminal Bioprosthetic Valve Leaflet Splitting Technology in Existing Valve,Division > Intraluminal Bioprosthetic Valve Leaflet Splitting Technology in Existing Valve,1,code,,X28F3VA
Division,"Division > Kidneys, Bilateral","Division > Kidneys, Bilateral",1,codes,,0T82
Division,Division > Liver,Division > Liver,1,codes,,0F80
Division,Division > Liver > Left Lobe,Division > Liver > Left Lobe,2,codes,,0F82
Division,Division > Liver > Right Lobe,Division > Liver > Right Lobe,2,codes,,0F81
Division,Division > Mandible > Left,Division > Mandible > Left,2,codes,,0N8V
Division,Division > Mandible > Right,Division > Mandible > Right,2,codes,,0N8T
Division,Division > Maxilla,Division > Maxilla,1,codes,,0N8R
Division,Division > Metacarpal > Left,Division > Metacarpal > Left,2,codes,,0P8Q
Division,Division > Metacarpal > Right,Division > Metacarpal > Right,2,codes,,0P8P
Division,Division > Metatarsal > Left,Division > Metatarsal > Left,2,codes,,0Q8P
Division,Division > Metatarsal > Right,Division > Metatarsal > Right,2,codes,,0Q8N
Division,Division > Muscle > Abdomen > Left,Division > Muscle > Abdomen > Left,3,codes,,0K8L
Division,Division > Muscle > Abdomen > Right,Division > Muscle > Abdomen > Right,3,codes,,0K8K
Division,Division > Muscle > Facial,Division > Muscle > Facial,2,codes,,0K81
Division,Division > Muscle > Foot > Left,Division > Muscle > Foot > Left,3,codes,,0K8W
Division,Division > Muscle > Foot > Right,Division > Muscle > Foot > Right,3,codes,,0K8V
Division,Division > Muscle > Hand > Left,Division > Muscle > Hand > Left,3,codes,,0K8D
Division,Division > Muscle > Hand > Right,Division > Muscle > Hand > Right,3,codes,,0K8C
Division,Division > Muscle > Head,Division > Muscle > Head,2,codes,,0K80
Division,Division > Muscle > Hip > Left,Division > Muscle > Hip > Left,3,codes,,0K8P
Division,Division > Muscle > Hip > Right,Division > Muscle > Hip > Right,3,codes,,0K8N
Division,Division > Muscle > Lower Arm and Wrist > Left,Division > Muscle > Lower Arm and Wrist > Left,3,codes,,0K8B
Division,Division > Muscle > Lower Arm and Wrist > Right,Division > Muscle > Lower Arm and Wrist > Right,3,codes,,0K89
Division,Division > Muscle > Lower Leg > Left,Division > Muscle > Lower Leg > Left,3,codes,,0K8T
Division,Division > Muscle > Lower Leg > Right,Division > Muscle > Lower Leg > Right,3,codes,,0K8S
Division,Division > Muscle > Neck > Left,Division > Muscle > Neck > Left,3,codes,,0K83
Division,Division > Muscle > Neck > Right,Division > Muscle > Neck > Right,3,codes,,0K82
Division,Division > Muscle > Papillary,Division > Muscle > Papillary,2,codes,,028D
Division,Division > Muscle > Perineum,Division > Muscle > Perineum,2,codes,,0K8M
Division,Division > Muscle > Shoulder > Left,Division > Muscle > Shoulder > Left,3,codes,,0K86
Division,Division > Muscle > Shoulder > Right,Division > Muscle > Shoulder > Right,3,codes,,0K85
Division,Division > Muscle > Thorax > Left,Division > Muscle > Thorax > Left,3,codes,,0K8J
Division,Division > Muscle > Thorax > Right,Division > Muscle > Thorax > Right,3,codes,,0K8H
Division,"Division > Muscle > Tongue, Palate, Pharynx","Division > Muscle > Tongue, Palate, Pharynx",2,codes,,0K84
Division,Division > Muscle > Trunk > Left,Division > Muscle > Trunk > Left,3,codes,,0K8G
Division,Division > Muscle > Trunk > Right,Division > Muscle > Trunk > Right,3,codes,,0K8F
Division,Division > Muscle > Upper Arm > Left,Division > Muscle > Upper Arm > Left,3,codes,,0K88
Division,Division > Muscle > Upper Arm > Right,Division > Muscle > Upper Arm > Right,3,codes,,0K87
Division,Division > Muscle > Upper Leg > Left,Division > Muscle > Upper Leg > Left,3,codes,,0K8R
Division,Division > Muscle > Upper Leg > Right,Division > Muscle > Upper Leg > Right,3,codes,,0K8Q
Division,Division > Nerve > Abdominal Sympathetic,Division > Nerve > Abdominal Sympathetic,2,codes,,018M
Division,Division > Nerve > Abducens,Division > Nerve > Abducens,2,codes,,008L
Division,Division > Nerve > Accessory,Division > Nerve > Accessory,2,codes,,008R
Division,Division > Nerve > Acoustic,Division > Nerve > Acoustic,2,codes,,008N
Division,Division > Nerve > Brachial Plexus,Division > Nerve > Brachial Plexus,2,codes,,0183
Division,Division > Nerve > Cervical,Division > Nerve > Cervical,2,codes,,0181
Division,Division > Nerve > Cervical Plexus,Division > Nerve > Cervical Plexus,2,codes,,0180
Division,Division > Nerve > Facial,Division > Nerve > Facial,2,codes,,008M
Division,Division > Nerve > Femoral,Division > Nerve > Femoral,2,codes,,018D
Division,Division > Nerve > Glossopharyngeal,Division > Nerve > Glossopharyngeal,2,codes,,008P
Division,Division > Nerve > Head and Neck Sympathetic,Division > Nerve > Head and Neck Sympathetic,2,codes,,018K
Division,Division > Nerve > Hypoglossal,Division > Nerve > Hypoglossal,2,codes,,008S
Division,Division > Nerve > Lumbar,Division > Nerve > Lumbar,2,codes,,018B
Division,Division > Nerve > Lumbar Plexus,Division > Nerve > Lumbar Plexus,2,codes,,0189
Division,Division > Nerve > Lumbar Sympathetic,Division > Nerve > Lumbar Sympathetic,2,codes,,018N
Division,Division > Nerve > Lumbosacral Plexus,Division > Nerve > Lumbosacral Plexus,2,codes,,018A
Division,Division > Nerve > Median,Division > Nerve > Median,2,codes,,0185
Division,Division > Nerve > Oculomotor,Division > Nerve > Oculomotor,2,codes,,008H
Division,Division > Nerve > Olfactory,Division > Nerve > Olfactory,2,codes,,008F
Division,Division > Nerve > Optic,Division > Nerve > Optic,2,codes,,008G
Division,Division > Nerve > Peroneal,Division > Nerve > Peroneal,2,codes,,018H
Division,Division > Nerve > Phrenic,Division > Nerve > Phrenic,2,codes,,0182
Division,Division > Nerve > Pudendal,Division > Nerve > Pudendal,2,codes,,018C
Division,Division > Nerve > Radial,Division > Nerve > Radial,2,codes,,0186
Division,Division > Nerve > Sacral,Division > Nerve > Sacral,2,codes,,018R
Division,Division > Nerve > Sacral Plexus,Division > Nerve > Sacral Plexus,2,codes,,018Q
Division,Division > Nerve > Sacral Sympathetic,Division > Nerve > Sacral Sympathetic,2,codes,,018P
Division,Division > Nerve > Sciatic,Division > Nerve > Sciatic,2,codes,,018F
Division,Division > Nerve > Thoracic,Division > Nerve > Thoracic,2,codes,,0188
Division,Division > Nerve > Thoracic Sympathetic,Division > Nerve > Thoracic Sympathetic,2,codes,,018L
Division,Division > Nerve > Tibial,Division > Nerve > Tibial,2,codes,,018G
Division,Division > Nerve > Trigeminal,Division > Nerve > Trigeminal,2,codes,,008K
Division,Division > Nerve > Trochlear,Division > Nerve > Trochlear,2,codes,,008J
Division,Division > Nerve > Ulnar,Division > Nerve > Ulnar,2,codes,,0184
Division,Division > Nerve > Vagus,Division > Nerve > Vagus,2,codes,,008Q
Division,Division > Orbit > Left,Division > Orbit > Left,2,codes,,0N8Q
Division,Division > Orbit > Right,Division > Orbit > Right,2,codes,,0N8P
Division,Division > Ovary > Bilateral,Division > Ovary > Bilateral,2,codes,,0U82
Division,Division > Ovary > Left,Division > Ovary > Left,2,codes,,0U81
Division,Division > Ovary > Right,Division > Ovary > Right,2,codes,,0U80
Division,Division > Pancreas,Division > Pancreas,1,codes,,0F8G
Division,Division > Patella > Left,Division > Patella > Left,2,codes,,0Q8F
Division,Division > Patella > Right,Division > Patella > Right,2,codes,,0Q8D
Division,"Division > Perineum, Female","Division > Perineum, Female",1,code,,0W8NXZZ
Division,Division > Phalanx > Finger > Left,Division > Phalanx > Finger > Left,3,codes,,0P8V
Division,Division > Phalanx > Finger > Right,Division > Phalanx > Finger > Right,3,codes,,0P8T
Division,Division > Phalanx > Thumb > Left,Division > Phalanx > Thumb > Left,3,codes,,0P8S
Division,Division > Phalanx > Thumb > Right,Division > Phalanx > Thumb > Right,3,codes,,0P8R
Division,Division > Phalanx > Toe > Left,Division > Phalanx > Toe > Left,3,codes,,0Q8R
Division,Division > Phalanx > Toe > Right,Division > Phalanx > Toe > Right,3,codes,,0Q8Q
Division,Division > Radius > Left,Division > Radius > Left,2,codes,,0P8J
Division,Division > Radius > Right,Division > Radius > Right,2,codes,,0P8H
Division,Division > Ribs > 1 to 2,Division > Ribs > 1 to 2,2,codes,,0P81
Division,Division > Ribs > 3 or More,Division > Ribs > 3 or More,2,codes,,0P82
Division,Division > Sacrum,Division > Sacrum,1,codes,,0Q81
Division,Division > Scapula > Left,Division > Scapula > Left,2,codes,,0P86
Division,Division > Scapula > Right,Division > Scapula > Right,2,codes,,0P85
Division,Division > Skin > Abdomen,Division > Skin > Abdomen,2,code,,0H87XZZ
Division,Division > Skin > Back,Division > Skin > Back,2,code,,0H86XZZ
Division,Division > Skin > Buttock,Division > Skin > Buttock,2,code,,0H88XZZ
Division,Division > Skin > Chest,Division > Skin > Chest,2,code,,0H85XZZ
Division,Division > Skin > Ear > Left,Division > Skin > Ear > Left,3,code,,0H83XZZ
Division,Division > Skin > Ear > Right,Division > Skin > Ear > Right,3,code,,0H82XZZ
Division,Division > Skin > Face,Division > Skin > Face,2,code,,0H81XZZ
Division,Division > Skin > Foot > Left,Division > Skin > Foot > Left,3,code,,0H8NXZZ
