main_term,path,full_term,level,type,value,code
Acupuncture,Acupuncture > Integumentary System > Anesthesia,Acupuncture > Integumentary System > Anesthesia,2,code,,8E0H300
Acupuncture,Acupuncture > Integumentary System > No Qualifier,Acupuncture > Integumentary System > No Qualifier,2,code,,8E0H30Z
Adductor brevis muscle,Adductor brevis muscle,Adductor brevis muscle,1,use,"Upper Leg Muscle, Right",
Adductor brevis muscle,Adductor brevis muscle,Adductor brevis muscle,1,use,"Upper Leg Muscle, Left",
Adductor hallucis muscle,Adductor hallucis muscle,Adductor hallucis muscle,1,use,"Foot Muscle, Right",
Adductor hallucis muscle,Adductor hallucis muscle,Adductor hallucis muscle,1,use,"Foot Muscle, Left",
Adductor longus muscle,Adductor longus muscle,Adductor longus muscle,1,use,"Upper Leg Muscle, Right",
Adductor longus muscle,Adductor longus muscle,Adductor longus muscle,1,use,"Upper Leg Muscle, Left",
Adductor magnus muscle,Adductor magnus muscle,Adductor magnus muscle,1,use,"Upper Leg Muscle, Right",
Adductor magnus muscle,Adductor magnus muscle,Adductor magnus muscle,1,use,"Upper Leg Muscle, Left",
Adductor pollicis muscle,Adductor pollicis muscle,Adductor pollicis muscle,1,use,"Hand Muscle, Right",
Adductor pollicis muscle,Adductor pollicis muscle,Adductor pollicis muscle,1,use,"Hand Muscle, Left",
Adenohypophysis,Adenohypophysis,Adenohypophysis,0,use,Pituitary Gland,
Adenoidectomy,Adenoidectomy,Adenoidectomy,1,see,"Excision, Adenoids 0CBQ",0CBQ
Adenoidectomy,Adenoidectomy,Adenoidectomy,1,see,"Resection, Adenoids 0CTQ",0CTQ
Adenoidotomy,Adenoidotomy,Adenoidotomy,0,see,"Drainage, Adenoids 0C9Q",0C9Q
Adhesiolysis,Adhesiolysis,Adhesiolysis,0,see,Release,
"Adhesive Ultrasound Patch Technology, Blood Flow","Adhesive Ultrasound Patch Technology, Blood Flow","Adhesive Ultrasound Patch Technology, Blood Flow",0,code,,XX25X0A
Administration,Administration > Blood products,Administration > Blood products,1,see,Transfusion,
Administration,Administration > Other substance,Administration > Other substance,1,see,Introduction of substance in or on,
Adrenalectomy,Adrenalectomy,Adrenalectomy,1,see,"Excision, Endocrine System 0GB",
Adrenalectomy,Adrenalectomy,Adrenalectomy,1,see,"Resection, Endocrine System 0GT",
Adrenalorrhaphy,Adrenalorrhaphy,Adrenalorrhaphy,0,see,"Repair, Endocrine System 0GQ",
Adrenalotomy,Adrenalotomy,Adrenalotomy,0,see,"Drainage, Endocrine System 0G9",
Advancement,Advancement,Advancement,1,see,Reposition,
Advancement,Advancement,Advancement,1,see,Transfer,
Advisa (MRI),Advisa (MRI),Advisa (MRI),0,use,"Pacemaker, Dual Chamber in 0JH",
AeroPace(R) System,AeroPace(R) System,AeroPace(R) System,0,use,Temporary Phrenic Nerve/Diaphragm Stimulation Electrodes in New Technology,
afami-cel,afami-cel,afami-cel,0,use,Afamitresgene Autoleucel Immunotherapy,
AFX(R) Endovascular AAA System,AFX(R) Endovascular AAA System,AFX(R) Endovascular AAA System,0,use,Intraluminal Device,
AGENT(tm) Paclitaxel-Coated Balloon,AGENT(tm) Paclitaxel-Coated Balloon,AGENT(tm) Paclitaxel-Coated Balloon,0,see,"New Technology, Anatomical Regions XW0",
AGN1 Bone Void Filler,AGN1 Bone Void Filler,AGN1 Bone Void Filler,0,code,,XW0V3WA
Aidoc Briefcase for PE (pulmonary embolism),Aidoc Briefcase for PE (pulmonary embolism),Aidoc Briefcase for PE (pulmonary embolism),0,code,,XXE3X27
AIGISRx Antibacterial Envelope,AIGISRx Antibacterial Envelope,AIGISRx Antibacterial Envelope,0,use,Anti-Infective Envelope,
Alar ligament of axis,Alar ligament of axis,Alar ligament of axis,0,use,Head and Neck Bursa and Ligament,
Alfapump(R) system,Alfapump(R) system,Alfapump(R) system,0,use,Other Device,
Alfieri Stitch Valvuloplasty,Alfieri Stitch Valvuloplasty,Alfieri Stitch Valvuloplasty,0,see,"Restriction, Valve, Mitral 02VG",02VG
Alimentation,Alimentation,Alimentation,0,see,Introduction of substance in or on,
ALPPS (Associating liver partition and portal vein ligation),ALPPS (Associating liver partition and portal vein ligation),ALPPS (Associating liver partition and portal vein ligation),1,see,"Division, Hepatobiliary System and Pancreas 0F8",
ALPPS (Associating liver partition and portal vein ligation),ALPPS (Associating liver partition and portal vein ligation),ALPPS (Associating liver partition and portal vein ligation),1,see,"Resection, Hepatobiliary System and Pancreas 0FT",
Alteration,Alteration > Abdominal Wall,Alteration > Abdominal Wall,1,codes,,0W0F
Alteration,Alteration > Ankle Region > Left,Alteration > Ankle Region > Left,2,codes,,0Y0L
Alteration,Alteration > Ankle Region > Right,Alteration > Ankle Region > Right,2,codes,,0Y0K
