full_code,section,body_system,operation,operation_definition,body_part_code,body_part,approach_code,approach,device_code,device,qualifier_code,qualifier
00160K6,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,6,Peritoneal Cavity
00160K7,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,7,Urinary Tract
00160K8,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,8,Bone Marrow
00160KA,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,A,Subgaleal Space
00160KB,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,B,Cerebral Cisterns
0016370,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,0,Nasopharynx
0016371,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,1,Mastoid Sinus
0016372,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,2,Atrium
0016373,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,3,Blood Vessel
0016374,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,4,Pleural Cavity
0016375,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,5,Intestine
0016376,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,6,Peritoneal Cavity
0016377,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,7,Urinary Tract
0016378,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,8,Bone Marrow
001637A,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,A,Subgaleal Space
001637B,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,B,Cerebral Cisterns
00163J0,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,J,Synthetic Substitute,0,Nasopharynx
00163J1,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,J,Synthetic Substitute,1,Mastoid Sinus
00163J2,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,J,Synthetic Substitute,2,Atrium
00163J3,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,J,Synthetic Substitute,3,Blood Vessel
00163J4,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,J,Synthetic Substitute,4,Pleural Cavity
00163J5,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,J,Synthetic Substitute,5,Intestine
00163J6,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,J,Synthetic Substitute,6,Peritoneal Cavity
00163J7,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,J,Synthetic Substitute,7,Urinary Tract
00163J8,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,J,Synthetic Substitute,8,Bone Marrow
00163JA,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,J,Synthetic Substitute,A,Subgaleal Space
00163JB,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,J,Synthetic Substitute,B,Cerebral Cisterns
00163K0,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,K,Nonautologous Tissue Substitute,0,Nasopharynx
00163K1,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,K,Nonautologous Tissue Substitute,1,Mastoid Sinus
00163K2,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,K,Nonautologous Tissue Substitute,2,Atrium
00163K3,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,K,Nonautologous Tissue Substitute,3,Blood Vessel
00163K4,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,K,Nonautologous Tissue Substitute,4,Pleural Cavity
00163K5,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,K,Nonautologous Tissue Substitute,5,Intestine
00163K6,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,K,Nonautologous Tissue Substitute,6,Peritoneal Cavity
00163K7,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,K,Nonautologous Tissue Substitute,7,Urinary Tract
00163K8,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,K,Nonautologous Tissue Substitute,8,Bone Marrow
00163KA,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,K,Nonautologous Tissue Substitute,A,Subgaleal Space
00163KB,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,K,Nonautologous Tissue Substitute,B,Cerebral Cisterns
0016470,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,0,Nasopharynx
0016471,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,1,Mastoid Sinus
0016472,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,2,Atrium
0016473,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,3,Blood Vessel
0016474,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,4,Pleural Cavity
0016475,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,5,Intestine
0016476,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,6,Peritoneal Cavity
0016477,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,7,Urinary Tract
0016478,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,8,Bone Marrow
001647A,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,A,Subgaleal Space
001647B,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,7,Autologous Tissue Substitute,B,Cerebral Cisterns
00164J0,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,J,Synthetic Substitute,0,Nasopharynx
00164J1,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,J,Synthetic Substitute,1,Mastoid Sinus
00164J2,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,J,Synthetic Substitute,2,Atrium
00164J3,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,J,Synthetic Substitute,3,Blood Vessel
00164J4,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,J,Synthetic Substitute,4,Pleural Cavity
00164J5,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,J,Synthetic Substitute,5,Intestine
00164J6,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,J,Synthetic Substitute,6,Peritoneal Cavity
00164J7,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,J,Synthetic Substitute,7,Urinary Tract
